,strike,impliedVolatility,option_type,root,root price,ER Date,Expiry,fee,daysout,OTM,ARR,PctOTM,POW,PctFee
117,73.0,69,put,DHI,86.42,2023-01-31 05:30,2023-01-06,1.74,22,13.42,33,15.53,83,2.01
121,57.0,46,put,DVN,62.05,2023-02-13 02:59,2023-01-13,1.3,29,5.05,26,8.14,74,2.1
122,56.0,47,put,DVN,62.05,2023-02-13 02:59,2023-01-27,1.63,43,6.05,22,9.75,73,2.63
123,58.0,45,put,DVN,62.05,2023-02-13 02:59,2023-01-13,1.56,29,4.05,31,6.53,69,2.52
124,57.0,47,put,DVN,62.05,2023-02-13 02:59,2023-01-27,1.89,43,5.05,25,8.14,69,3.05
127,310.0,51,put,EPAM,354.83,2023-02-15 05:30,2023-01-20,7.17,36,44.83,20,12.63,79,2.02
128,320.0,52,put,EPAM,354.83,2023-02-15 05:30,2023-01-20,8.88,36,34.83,25,9.82,73,2.5
134,85.0,46,put,EXPE,92.8,2023-02-08 02:59,2023-01-20,2.29,36,7.8,24,8.41,72,2.46
135,45.0,91,put,FAF,53.98,10/27/2022 8:00,2023-01-20,3.6,36,8.98,67,16.64,73,6.67
136,126.19,41,put,FANG,137.6,2023-02-20 02:59,2023-01-20,2.92,36,11.41,21,8.29,74,2.13
137,128.84,40,put,FANG,137.6,2023-02-20 02:59,2023-01-20,3.55,36,8.76,26,6.37,69,2.58
141,165.0,39,put,FDX,178.14,2022-12-20 13:00,2023-01-20,3.6,36,13.14,20,7.38,73,2.02
142,165.0,39,put,FDX,178.14,2022-12-20 13:00,2023-01-27,4.19,43,13.14,19,7.38,71,2.35
143,167.5,40,put,FDX,178.14,2022-12-20 13:00,2023-01-13,3.9,29,10.64,27,5.97,70,2.19
144,15.0,49,put,FMS,16.36,,2023-01-20,0.42,36,1.36,26,8.31,71,2.6
149,6.0,89,put,FSR,7.22,2022-11-02 14:00,2023-01-06,0.2,22,1.22,44,16.9,79,2.74
150,6.0,94,put,FSR,7.22,2022-11-02 14:00,2023-01-13,0.28,29,1.22,48,16.9,75,3.91
151,6.5,83,put,FSR,7.22,2022-11-02 14:00,2022-12-30,0.23,15,0.72,76,9.97,73,3.19
152,6.0,92,put,FSR,7.22,2022-11-02 14:00,2023-01-20,0.33,36,1.22,46,16.9,73,4.61
153,6.0,93,put,FSR,7.22,2022-11-02 14:00,2023-01-27,0.42,43,1.22,48,16.9,71,5.75
154,6.5,85,put,FSR,7.22,2022-11-02 14:00,2023-01-06,0.32,22,0.72,72,9.97,69,4.43
155,20.0,68,put,FYBR,24.21,2022-11-02 05:30,2023-01-20,0.57,36,4.21,23,17.39,81,2.38
156,10.0,52,put,HDSN,11.25,,2023-01-20,0.28,36,1.25,24,11.11,76,2.44
160,26.0,41,put,INTC,28.3,2023-01-24 13:00,2023-01-27,0.67,43,2.3,19,8.13,72,2.37
163,28.0,58,put,IPI,31.92,2022-11-03 09:00,2023-01-20,0.98,36,3.92,30,12.28,76,3.05
164,29.0,55,put,IPI,31.92,2022-11-03 09:00,2023-01-20,1.2,36,2.92,37,9.15,70,3.76
171,430.0,43,put,LRCX,467.0,2023-01-24 02:59,2023-01-20,10.43,36,37.0,22,7.92,72,2.23
172,435.0,43,put,LRCX,467.0,2023-01-24 02:59,2023-01-13,9.82,29,32.0,26,6.85,71,2.1
173,435.0,43,put,LRCX,467.0,2023-01-24 02:59,2023-01-20,11.81,36,32.0,25,6.85,69,2.53
175,108.0,48,put,META,121.75,2023-01-31 02:59,2023-01-27,2.77,43,13.75,19,11.29,76,2.27
176,112.0,45,put,META,121.75,2023-01-31 02:59,2023-01-13,2.46,29,9.75,25,8.01,74,2.02
177,109.0,48,put,META,121.75,2023-01-31 02:59,2023-01-27,2.96,43,12.75,20,10.47,74,2.44
178,110.0,47,put,META,121.75,2023-01-31 02:59,2023-01-27,3.21,43,11.75,22,9.65,73,2.64
179,113.0,44,put,META,121.75,2023-01-31 02:59,2023-01-13,2.7,29,8.75,27,7.19,72,2.22
180,111.0,48,put,META,121.75,2023-01-31 02:59,2023-01-27,3.52,43,10.75,24,8.83,71,2.9
181,115.0,42,put,META,121.75,2023-01-31 02:59,2023-01-06,2.45,22,6.75,33,5.54,70,2.01
182,114.0,44,put,META,121.75,2023-01-31 02:59,2023-01-13,2.97,29,7.75,30,6.37,70,2.44
183,112.0,47,put,META,121.75,2023-01-31 02:59,2023-01-27,3.79,43,9.75,26,8.01,69,3.11
188,42.0,47,put,MOS,45.43,2023-02-20 13:00,2023-01-13,1.02,29,3.43,28,7.55,72,2.25
189,42.0,45,put,MOS,45.43,2023-02-20 13:00,2023-01-20,1.17,36,3.43,26,7.55,70,2.58
190,43.0,44,put,MOS,45.43,2023-02-20 13:00,2023-01-06,1.0,22,2.43,36,5.35,69,2.2
196,10.0,98,put,MPW,12.18,2023-02-01 05:30,2022-12-30,0.31,15,2.18,61,17.9,83,2.57
197,10.0,85,put,MPW,12.18,2023-02-01 05:30,2023-01-06,0.35,22,2.18,47,17.9,82,2.87
198,10.5,80,put,MPW,12.18,2023-02-01 05:30,2022-12-30,0.31,15,1.68,61,13.79,81,2.57
199,10.0,83,put,MPW,12.18,2023-02-01 05:30,2023-01-13,0.41,29,2.18,42,17.9,79,3.39
200,10.5,81,put,MPW,12.18,2023-02-01 05:30,2023-01-06,0.45,22,1.68,60,13.79,77,3.69
201,10.0,84,put,MPW,12.18,2023-02-01 05:30,2023-01-20,0.49,36,2.18,40,17.9,77,4.0
202,10.0,81,put,MPW,12.18,2023-02-01 05:30,2023-01-27,0.54,43,2.18,37,17.9,75,4.41
203,11.0,76,put,MPW,12.18,2023-02-01 05:30,2022-12-30,0.45,15,1.18,88,9.69,74,3.69
204,10.5,82,put,MPW,12.18,2023-02-01 05:30,2023-01-13,0.56,29,1.68,57,13.79,73,4.62
205,11.0,73,put,MPW,12.18,2023-02-01 05:30,2023-01-06,0.55,22,1.18,74,9.69,71,4.52
206,10.5,79,put,MPW,12.18,2023-02-01 05:30,2023-01-27,0.71,43,1.68,49,13.79,70,5.85
214,175.0,63,put,MRNA,208.6,2023-02-22 05:30,2023-01-20,4.19,36,33.6,20,16.11,81,2.01
215,180.0,63,put,MRNA,208.6,2023-02-22 05:30,2023-01-13,4.46,29,28.6,26,13.71,79,2.14
216,182.5,63,put,MRNA,208.6,2023-02-22 05:30,2023-01-13,5.04,29,26.1,30,12.51,77,2.41
217,180.0,61,put,MRNA,208.6,2023-02-22 05:30,2023-01-20,5.04,36,28.6,24,13.71,77,2.41
218,177.5,62,put,MRNA,208.6,2023-02-22 05:30,2023-01-27,5.86,43,31.1,23,14.91,77,2.81
219,187.5,58,put,MRNA,208.6,2023-02-22 05:30,2023-01-06,4.28,22,21.1,33,10.12,76,2.05
220,185.0,62,put,MRNA,208.6,2023-02-22 05:30,2023-01-13,5.65,29,23.6,33,11.31,75,2.71
221,180.0,62,put,MRNA,208.6,2023-02-22 05:30,2023-01-27,6.5,43,28.6,26,13.71,75,3.12
222,190.0,58,put,MRNA,208.6,2023-02-22 05:30,2023-01-06,4.88,22,18.6,38,8.92,74,2.34
223,185.0,61,put,MRNA,208.6,2023-02-22 05:30,2023-01-20,6.58,36,23.6,31,11.31,73,3.15
224,195.0,56,put,MRNA,208.6,2023-02-22 05:30,2022-12-30,4.49,15,13.6,51,6.52,72,2.15
225,187.5,62,put,MRNA,208.6,2023-02-22 05:30,2023-01-13,6.35,29,21.1,38,10.12,72,3.04
226,192.5,57,put,MRNA,208.6,2023-02-22 05:30,2023-01-06,5.66,22,16.1,44,7.72,71,2.71
227,190.0,62,put,MRNA,208.6,2023-02-22 05:30,2023-01-13,7.11,29,18.6,42,8.92,70,3.41
228,187.5,61,put,MRNA,208.6,2023-02-22 05:30,2023-01-27,8.66,43,21.1,35,10.12,69,4.15
235,38.0,55,put,MRVL,42.73,2022-11-30 16:00,2023-01-13,0.93,29,4.73,27,11.07,77,2.17
236,39.0,54,put,MRVL,42.73,2022-11-30 16:00,2023-01-13,1.19,29,3.73,34,8.73,72,2.78
237,40.0,50,put,MRVL,42.73,2022-11-30 16:00,2023-01-06,1.04,22,2.73,40,6.39,70,2.45
242,50.0,49,put,MU,54.63,2022-12-21 13:00,2023-01-13,1.22,29,4.63,27,8.48,73,2.24
243,51.0,46,put,MU,54.63,2022-12-21 13:00,2023-01-06,1.12,22,3.63,33,6.64,72,2.05
244,50.0,47,put,MU,54.63,2022-12-21 13:00,2023-01-20,1.41,36,4.63,26,8.48,72,2.59
245,50.0,47,put,MU,54.63,2022-12-21 13:00,2023-01-27,1.65,43,4.63,25,8.48,70,3.02
246,52.0,48,put,MU,54.63,2022-12-21 13:00,2022-12-30,1.14,15,2.63,50,4.81,69,2.09
247,51.0,48,put,MU,54.63,2022-12-21 13:00,2023-01-13,1.49,29,3.63,34,6.64,69,2.73
259,270.0,60,put,NFLX,318.15,2023-01-18 13:00,2023-01-20,6.46,36,48.15,20,15.14,80,2.03
260,275.0,59,put,NFLX,318.15,2023-01-18 13:00,2023-01-20,7.5,36,43.15,23,13.56,78,2.36
261,270.0,60,put,NFLX,318.15,2023-01-18 13:00,2023-01-27,7.99,43,48.15,21,15.14,78,2.51
262,275.0,59,put,NFLX,318.15,2023-01-18 13:00,2023-01-27,9.16,43,43.15,24,13.56,76,2.88
263,280.0,58,put,NFLX,318.15,2023-01-18 13:00,2023-01-20,8.6,36,38.15,27,11.99,75,2.7
264,295.0,42,put,NFLX,318.15,2023-01-18 13:00,2023-01-13,6.45,29,23.15,25,7.28,73,2.03
265,280.0,59,put,NFLX,318.15,2023-01-18 13:00,2023-01-27,10.41,43,38.15,27,11.99,73,3.27
266,285.0,58,put,NFLX,318.15,2023-01-18 13:00,2023-01-20,9.9,36,33.15,31,10.42,72,3.11
267,285.0,58,put,NFLX,318.15,2023-01-18 13:00,2023-01-27,11.76,43,33.15,31,10.42,70,3.7
268,290.0,57,put,NFLX,318.15,2023-01-18 13:00,2023-01-20,11.3,36,28.15,35,8.85,69,3.55
277,155.0,53,put,NVDA,176.05,2023-02-14 02:59,2023-01-20,3.64,36,21.05,20,11.96,77,2.07
278,157.5,52,put,NVDA,176.05,2023-02-14 02:59,2023-01-20,4.17,36,18.55,23,10.54,75,2.37
279,155.0,52,put,NVDA,176.05,2023-02-14 02:59,2023-01-27,4.39,43,21.05,21,11.96,75,2.49
280,160.0,52,put,NVDA,176.05,2023-02-14 02:59,2023-01-13,4.08,29,16.05,28,9.12,73,2.31
281,157.5,52,put,NVDA,176.05,2023-02-14 02:59,2023-01-27,4.94,43,18.55,23,10.54,73,2.8
282,160.0,51,put,NVDA,176.05,2023-02-14 02:59,2023-01-20,4.78,36,16.05,27,9.12,72,2.71
283,165.0,48,put,NVDA,176.05,2023-02-14 02:59,2023-01-06,3.79,22,11.05,35,6.28,70,2.15
284,162.5,51,put,NVDA,176.05,2023-02-14 02:59,2023-01-13,4.69,29,13.55,33,7.7,70,2.66
285,160.0,51,put,NVDA,176.05,2023-02-14 02:59,2023-01-27,5.64,43,16.05,27,9.12,70,3.2
286,162.5,51,put,NVDA,176.05,2023-02-14 02:59,2023-01-20,5.47,36,13.55,31,7.7,69,3.11
292,61.0,63,put,OKTA,71.05,2023-02-28 02:59,2023-01-13,1.46,29,10.05,25,14.14,80,2.05
293,60.0,62,put,OKTA,71.05,2023-02-28 02:59,2023-01-20,1.55,36,11.05,22,15.55,80,2.19
294,62.0,62,put,OKTA,71.05,2023-02-28 02:59,2023-01-13,1.69,29,9.05,29,12.74,77,2.38
295,63.0,61,put,OKTA,71.05,2023-02-28 02:59,2023-01-13,1.9,29,8.05,33,11.33,75,2.67
296,65.0,58,put,OKTA,71.05,2023-02-28 02:59,2023-01-06,1.8,22,6.05,41,8.52,73,2.53
297,64.0,60,put,OKTA,71.05,2023-02-28 02:59,2023-01-13,2.13,29,7.05,37,9.92,73,3.0
298,66.0,56,put,OKTA,71.05,2023-02-28 02:59,2023-01-06,2.06,22,5.05,47,7.11,70,2.91
299,65.0,59,put,OKTA,71.05,2023-02-28 02:59,2023-01-13,2.4,29,6.05,42,8.52,70,3.38
306,60.0,51,put,ON,67.6,2023-02-06 05:30,2023-01-20,1.51,36,7.6,22,11.24,76,2.24
307,62.0,50,put,ON,67.6,2023-02-06 05:30,2023-01-13,1.69,29,5.6,31,8.28,72,2.5
308,63.0,50,put,ON,67.6,2023-02-06 05:30,2023-01-06,1.48,22,4.6,35,6.8,71,2.18
310,150.0,38,put,PANW,160.49,2023-02-20 02:59,2023-01-20,3.55,36,10.49,22,6.54,71,2.21
311,150.0,38,put,PANW,160.49,2023-02-20 02:59,2023-01-27,4.1,43,10.49,21,6.54,69,2.55
316,67.0,45,put,PYPL,72.84,2023-01-30 16:00,2023-01-13,1.54,29,5.84,26,8.02,74,2.12
317,66.0,48,put,PYPL,72.84,2023-01-30 16:00,2023-01-27,2.04,43,6.84,23,9.39,72,2.79
318,69.0,41,put,PYPL,72.84,2023-01-30 16:00,2023-01-06,1.53,22,3.84,34,5.27,70,2.1
319,68.0,45,put,PYPL,72.84,2023-01-30 16:00,2023-01-13,1.81,29,4.84,31,6.64,70,2.49
320,67.5,45,put,PYPL,72.84,2023-01-30 16:00,2023-01-20,2.04,36,5.34,28,7.33,70,2.8
321,67.0,48,put,PYPL,72.84,2023-01-30 16:00,2023-01-27,2.35,43,5.84,27,8.02,69,3.22
325,115.0,37,put,QCOM,121.89,2023-01-31 02:59,2023-01-13,2.49,29,6.89,25,5.65,70,2.04
328,17.0,61,put,SBLK,20.28,2023-02-14 02:59,2023-01-20,0.41,36,3.28,20,16.17,82,2.03
329,18.0,52,put,SBLK,20.28,2023-02-14 02:59,2023-01-13,0.44,29,2.28,26,11.24,78,2.16
330,17.5,53,put,SBLK,20.28,2023-02-14 02:59,2023-01-27,0.5,43,2.78,20,13.71,78,2.47
331,18.0,56,put,SBLK,20.28,2023-02-14 02:59,2023-01-20,0.57,36,2.28,28,11.24,74,2.84
332,18.5,59,put,SBLK,20.28,2023-02-14 02:59,2023-01-06,0.42,22,1.78,34,8.78,73,2.1
333,18.5,54,put,SBLK,20.28,2023-02-14 02:59,2023-01-13,0.5,29,1.78,30,8.78,72,2.47
334,18.5,52,put,SBLK,20.28,2023-02-14 02:59,2023-01-27,0.84,43,1.78,34,8.78,69,4.13
335,16.0,67,put,SKT,18.95,2023-02-15 02:59,2023-01-20,0.71,36,2.95,37,15.57,78,3.76
337,80.0,53,put,SMCI,90.05,,2023-01-20,2.17,36,10.05,24,11.16,76,2.42
347,125.0,65,put,SNOW,149.5,2023-02-28 13:00,2023-01-20,3.25,36,24.5,21,16.39,80,2.17
348,130.0,64,put,SNOW,149.5,2023-02-28 13:00,2023-01-13,3.6,29,19.5,30,13.04,77,2.41
349,135.0,59,put,SNOW,149.5,2023-02-28 13:00,2023-01-06,3.35,22,14.5,36,9.7,75,2.24
350,130.0,63,put,SNOW,149.5,2023-02-28 13:00,2023-01-20,4.35,36,19.5,29,13.04,75,2.91
351,140.0,56,put,SNOW,149.5,2023-02-28 13:00,2022-12-30,3.45,15,9.5,55,6.35,71,2.31
352,135.0,62,put,SNOW,149.5,2023-02-28 13:00,2023-01-13,4.83,29,14.5,40,9.7,71,3.23
353,135.0,62,put,SNOW,149.5,2023-02-28 13:00,2023-01-20,5.72,36,14.5,38,9.7,69,3.83
354,100.0,43,put,STLD,109.0,,2023-01-20,2.49,36,9.0,23,8.26,73,2.28
355,30.0,52,put,UNVR,33.0,,2023-01-20,0.97,36,3.0,29,9.09,71,2.95
358,22.5,52,put,VIR,25.9,,2023-01-20,0.56,36,3.4,21,13.13,80,2.17
360,40.0,33,put,WFC,42.3,2023-01-13 05:30,2023-01-20,0.86,36,2.3,20,5.44,70,2.04
364,105.0,49,put,WSM,116.79,2022-11-17 14:00,2023-01-20,2.64,36,11.79,22,10.1,75,2.26
365,107.0,49,put,WSM,116.79,2022-11-17 14:00,2023-01-13,2.61,29,9.79,27,8.38,73,2.24
366,108.0,47,put,WSM,116.79,2022-11-17 14:00,2023-01-13,2.79,29,8.79,29,7.53,71,2.39
367,110.0,45,put,WSM,116.79,2022-11-17 14:00,2023-01-06,2.59,22,6.79,36,5.81,70,2.22
368,109.0,47,put,WSM,116.79,2022-11-17 14:00,2023-01-13,3.09,29,7.79,33,6.67,69,2.64
378,16.0,67,put,ZIM,17.92,2022-11-16 05:00,2022-12-30,0.39,15,1.92,51,10.71,79,2.16
379,15.0,70,put,ZIM,17.92,2022-11-16 05:00,2023-01-20,0.51,36,2.92,28,16.29,78,2.86
380,15.0,66,put,ZIM,17.92,2022-11-16 05:00,2023-01-27,0.55,43,2.92,25,16.29,78,3.07
381,15.5,67,put,ZIM,17.92,2022-11-16 05:00,2023-01-13,0.52,29,2.42,36,13.5,77,2.93
382,16.0,64,put,ZIM,17.92,2022-11-16 05:00,2023-01-06,0.49,22,1.92,44,10.71,76,2.72
383,16.0,66,put,ZIM,17.92,2022-11-16 05:00,2023-01-13,0.66,29,1.92,46,10.71,72,3.7
