Trade Date,Transaction Type,Symbol,Shares,Share Price,Principal Amount,Commission Fees,Net Amount,Accrued Interest,,Acct,Open Daysout,Expiry Date,Expiry Daysout,Open Action,Open CommsnOpen Date,Contracts,Open Fee / Share,Open Root Price,Option Type,Root,Strike Price,Open Xtn Type,Open IV,Open POW,ARR BE Close Fee,ARR BE Profit,Cur Price % Chg,Cur Root Price,Open % Fee,Open % OTM,Open ARR,Strike v Cur Root Price,Open Net Proceeds,Cash at Risk,Stock $ at Risk,Close Fee / Share,Close Date,Close Root Price,Close Net Proceeds,Close Daysout,Close Commsn,Close Xtn Type,Close ARR,Assigned ARR
12/01/2022,Sell to open,OKTA230120P00055000,-1.0,2.37,237.0,1.0,235.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2022,Buy to close,SNOW221209P00130000,2.0,3.0,-600.0,2.0,-602.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2022,Sell to open,XOM230106C00116000,-2.0,1.94,388.0,2.0,385.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2022,Buy to close,BIIB221209P00285000,1.0,0.95,-95.0,1.0,-96.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2022,Sell to open,CRWD221230P00110000,-2.0,3.75,750.0,2.0,747.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2022,Buy to close,FLNG230217P00029500,2.0,0.75,-150.0,2.0,-152.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2022,Sell to open,MPW230120P00013000,-5.0,1.0,500.0,5.0,494.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2022,Sell to open,MRVL221230P00038000,-2.0,1.23,246.0,2.0,243.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2022,Buy to close,XOM221230C00116000,2.0,1.55,-310.0,2.0,-312.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2022,Sell to open,MRNA230106P00160000,-1.0,7.4,740.0,1.0,738.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2022,Sell to open,DDOG221230P00067000,-2.0,2.89,578.0,2.0,575.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2022,Sell to open,DVN230106P00061000,-1.0,2.26,226.0,1.0,224.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2022,Sell to open,FLNG221216P00034500,-2.0,1.1,220.0,2.0,217.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2022,Sell to open,MPW221230P00012000,-2.0,0.4,80.0,2.0,78.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2022,Sell to open,MPW221230P00012000,-3.0,0.45,135.0,3.0,132.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2022,Sell to open,RITM230120P00009000,-8.0,0.6,480.0,8.0,471.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2022,Sell to open,SBLK221223P00018500,-2.0,0.95,190.0,2.0,188.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2022,Sell to open,ZIM221230P00022500,-3.0,2.0,600.0,3.0,596.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2022,Buy to close,AMZN221230C00107000,1.0,0.8,-80.0,1.0,-81.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2022,Assignment,AVGO221125C00470000,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2022,Buy to close,CF221216P00092500,1.0,0.65,-65.0,1.0,-66.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2022,Sell to open,DDOG221223P00066000,-2.0,2.33,466.0,2.0,463.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2022,Buy to close,DVN221125P00069000,3.0,0.45,-135.0,3.0,-138.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2022,Sell to open,LRCX221223P00430000,-1.0,11.55,1155.0,1.0,1153.97,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2022,Buy to close,MPW221209P00010000,3.0,0.05,-15.0,3.0,-18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2022,Sell to open,MRNA221230P00162500,-1.0,7.35,735.0,1.0,733.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2022,Assignment,NVDA221125C00140000,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2022,Buy to close,ON221216P00065000,2.0,0.8,-160.0,2.0,-162.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2022,Sell to open,QCOM221230P00117000,-1.0,2.65,265.0,1.0,263.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2022,Buy to close,SBLK221216P00017000,2.0,0.3,-60.0,2.0,-62.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2022,Sell to open,EPD230120P00026000,-4.0,1.34,536.0,4.0,531.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2022,Buy to close,GOOGL221223P00091000,3.0,1.16,-348.0,3.0,-351.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2022,Buy to close,MPW221209P00010000,1.0,0.05,-5.0,1.0,-6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2022,Sell to open,MPW230120P00013000,-8.0,1.07,856.0,8.0,847.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2022,Sell to open,MRNA221230P00160000,-1.0,6.75,675.0,1.0,673.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2022,Buy to close,MSFT221216P00225000,1.0,1.15,-115.0,1.0,-116.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2022,Buy to close,SBLK221216P00017000,4.0,0.3,-120.0,4.0,-124.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2022,Sell to open,ZIM221223P00022000,-5.0,1.35,675.0,5.0,669.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/2022,Buy to close,BIIB221223P00270000,1.0,3.1,-310.0,1.0,-311.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/2022,Buy to close,BIIB230120P00260000,1.0,5.1,-510.0,1.0,-511.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/2022,Sell to open,CF221230C00117000,-1.0,3.1,310.0,1.0,308.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/2022,Sell to open,CRWD221223C00150000,-2.0,4.8,960.0,2.0,957.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/2022,Buy to close,CRWD221223C00165000,2.0,1.8900000000000001,-378.0,2.0,-380.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/2022,Sell to open,ON221223P00066000,-2.0,1.7,340.0,2.0,337.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/2022,Sell to open,SBLK221223P00018000,-7.0,0.8,560.0,7.0,552.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/2022,Sell to open,ZIM221230P00020500,-7.0,1.05,735.0,7.0,727.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/21/2022,Sell to open,DDOG221223P00066000,-1.0,2.74,274.0,1.0,272.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/21/2022,Buy to close,DVN221209C00076000,3.0,0.5,-150.0,3.0,-153.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/21/2022,Buy to close,XOM221125C00112000,2.0,0.35,-70.0,2.0,-72.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/21/2022,Sell to open,XOM221230C00116000,-2.0,2.62,524.0,2.0,521.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2022,Assignment,AIG221118C00057500,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2022,Sell to open,AMZN221216P00089000,-2.0,2.58,516.0,2.0,513.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2022,Sell to open,ARNC221216C00022000,-6.0,0.45,270.0,6.0,263.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2022,Sell to open,ARNC230120C00023000,-5.0,0.65,325.0,5.0,319.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2022,Assignment,ATCO221118C00015000,10.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2022,Buy to close,CF221223C00116000,1.0,1.7,-170.0,1.0,-171.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2022,Sell to open,DDOG230120C00090000,-3.0,3.4699999999999998,1041.0,3.0,1037.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2022,Assignment,IRM221118C00050000,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2022,Buy to close,MPW221209P00010000,1.0,0.1,-10.0,1.0,-11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2022,Sell to open,MRNA221223P00165000,-1.0,7.1,710.0,1.0,708.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2022,Expired,NRG221118C00044000,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2022,Buy to close,WSM221216C00130000,4.0,2.0,-800.0,4.0,-804.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2022,Sell to open,ZIM221223P00020000,-7.0,1.2,840.0,7.0,832.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/2022,Buy to close,BIIB221209P00265000,1.0,2.75,-275.0,1.0,-276.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/2022,Sell to open,CF221216P00092500,-1.0,2.5,250.0,1.0,248.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/2022,Sell to open,CRWD221216P00125000,-1.0,5.2,520.0,1.0,518.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/2022,Buy to close,MRNA221223P00145000,1.0,2.7,-270.0,1.0,-271.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/2022,Sell to open,MRNA221223P00165000,-1.0,6.8,680.0,1.0,678.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/2022,Buy to close,MSFT221216P00215000,2.0,1.41,-282.0,2.0,-284.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/2022,Sell to open,ON221216P00065000,-2.0,1.8599999999999999,372.0,2.0,369.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/2022,Sell to open,WSM221216P00115000,-1.0,3.8,380.0,1.0,378.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2022,Sell to open,BIIB230120P00260000,-1.0,8.0,800.0,1.0,798.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2022,Sell to open,CRWD221223C00165000,-2.0,4.35,870.0,2.0,867.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2022,Sell to open,DDOG221223P00072000,-2.0,2.9,580.0,2.0,577.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2022,Assignment,MGA221118C00057500,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2022,Sell to open,MPW221223P00011000,-7.0,0.41,287.0,7.0,279.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2022,Sell to open,SNOW221223P00135000,-2.0,8.0,1600.0,2.0,1597.96,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2022,Buy to close,ZIM221216P00020500,7.0,0.7,-490.0,7.0,-497.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2022,Sell to open,AMZN221230P00094000,-2.0,3.25,650.0,2.0,647.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2022,Sell to open,BIIB221223P00270000,-1.0,6.3,630.0,1.0,628.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2022,Sell to open,CAT221223P00225000,-2.0,5.5,1100.0,2.0,1097.97,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2022,Buy to close,DDOG221125P00072000,1.0,0.57,-57.0,1.0,-58.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2022,Sell to open,DVN221230P00065000,-3.0,2.15,645.0,3.0,641.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2022,Buy to close,GOOGL221216P00088000,2.0,0.86,-172.0,2.0,-174.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2022,Sell to open,ON221230P00067000,-3.0,2.25,675.0,3.0,671.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2022,Buy to close,SNOW221125P00155000,1.0,3.5,-350.0,1.0,-351.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022,Sell to open,AMZN221230C00107000,-1.0,3.0,300.0,1.0,298.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022,Sell to open,BIIB221209P00285000,-1.0,7.9,790.0,1.0,788.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022,Buy to close,BIIB221216P00250000,1.0,2.65,-265.0,1.0,-266.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022,Sell to open,CF221223C00116000,-1.0,3.3,330.0,1.0,328.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022,Sell to open,CRWD221223P00120000,-1.0,4.1,410.0,1.0,408.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022,Sell to open,DDOG221223P00070000,-2.0,3.15,630.0,2.0,627.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022,Buy to close,DVN221202P00065000,2.0,0.6,-120.0,2.0,-122.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022,Sell to open,EPD230120P00026000,-7.0,1.32,924.0,7.0,916.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022,Sell to open,GSL221216P00017500,-6.0,0.6,360.0,6.0,353.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022,Sell to open,MRNA221216P00160000,-1.0,5.1,510.0,1.0,508.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2022,Assignment,AMZN221111P00103000,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2022,Buy to close,CF221125C00111000,1.0,0.95,-95.0,1.0,-96.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2022,Sell to open,CRWD221223P00125000,-1.0,5.3,530.0,1.0,528.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2022,Buy to close,DDOG221202P00068000,1.0,0.94,-94.0,1.0,-95.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2022,Sell to open,ET230120P00014000,-7.0,1.9100000000000001,1337.0,7.0,1329.97,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2022,Expired,GOOGL221111P00094000,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2022,Buy to close,GOOGL221223P00091000,3.0,2.09,-627.0,3.0,-630.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2022,Sell to open,GOOGL221223P00091000,-2.0,2.05,410.0,2.0,407.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2022,Sell to open,GOOGL221223P00091000,-3.0,2.1,630.0,3.0,626.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2022,Sell to open,LRCX230120P00440000,-1.0,16.7,1670.0,1.0,1668.96,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2022,Buy to close,MU221209P00051000,2.0,0.35,-70.0,2.0,-72.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2022,Buy to close,QCOM221216P00105000,1.0,1.41,-141.0,1.0,-142.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2022,Buy to close,WSM221216P00105000,1.0,1.65,-165.0,1.0,-166.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2022,Buy to close,AVGO221209P00440000,1.0,5.6,-560.0,1.0,-561.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2022,Buy to close,BIIB221118P00255000,1.0,1.55,-155.0,1.0,-156.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2022,Buy to close,BIIB221125P00230000,1.0,1.0,-100.0,1.0,-101.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
