Investment Name,Symbol,Shares,Share Price
SNOWFLAKE INC CL A,SNOW,100,150.58
PUT SNOWFLAKE INC $135        EXP 12/23/22,SNOW 221223 P 135.00,0,1.40
CALL SNOWFLAKE INC $160        EXP 01/06/23,SNOW 230106 C 160.00,-1,5.90
SALESFORCE INC,CRM,200,135.62
SOUTHERN COMPANY,SO,311.858,71.21
STAG INDUSTRIAL INC,STAG,303.591,33.98
STAR BULK CARRIERS CORP PAR $0.01,SBLK,2295.832,20.04
PUT STAR BULK CARRIERS $18.50      EXP 12/23/22 CORP PAR $0.01,SBLK 221223 P 18.50,-2,0.15
STARWOOD PROPERTY TRUST* INC,STWD,5840.9087,20.24
STORE CAPITAL CORP,STOR,2432.283,31.98
TRAVELERS COS INC,TRV,182.536,187.05
TANGER FACTORY OUTLET CENTERS INC,SKT,3817.033,19.04
TYSON FOODS INC CL A,TSN,449.55,64.58
UNION PACIFIC CORP,UNP,148.8974,218.02
VANGUARD INFORMATION TECHNOLOGY ETF,VGT,250.6031,346.86
CALL VANGUARD INFO $335        EXP 12/16/22 TECH ETF,VGT 221216 C 335.00,-2,20.10
VANGUARD FTSE EMERGING MARKETS ETF,VWO,266.1914,40.27
VANGUARD S&P 500 INDEX ETF,VOO,666.9425,369.39
VICI PROPERTIES INC,VICI,1698.022,34.39
W P CAREY INC,WPC,121.765,80.52
WARNER BROS DISCOVERY INC SER A,WBD,2541,10.89
WELLS FARGO & COMPANY PERPETUAL PFD CONVERTIBLE CL A 7.5%,WFC PRL,49.6625,1221.00
WILLIAMS SONOMA INC,WSM,669.205,117.71
CALL WILLIAMS SONOMA $135        EXP 01/20/23,WSM 230120 C 135.00,-2,1.45
PUT WILLIAMS SONOMA $115        EXP 12/16/22,WSM 221216 P 115.00,-1,1.55
CALL WILLIAMS SONOMA $122        EXP 01/06/23,WSM 230106 C 122.00,-4,3.60
PUT ZIM INTEGRATED $20         EXP 12/23/22 SHIPPING SERVICES LTD,ZIM 221223 P 20.00,-7,1.95
PUT ZIM INTEGRATED $22         EXP 12/23/22 SHIPPING SERVICES LTD,ZIM 221223 P 22.00,-5,3.50
ZIM INTEGRATED SHIPPING SERVICES LTD,ZIM,949.806,18.14
PUT ZIM INTEGRATED $20         EXP 04/21/23 SHIPPING SERVICES LTD,ZIM 230421 P 20.00,-5,5.69
PUT ZIM INTEGRATED $20.50      EXP 12/30/22 SHIPPING SERVICES LTD,ZIM 221230 P 20.50,-7,2.85
PUT ZIM INTEGRATED $22.50      EXP 12/30/22 SHIPPING SERVICES LTD,ZIM 221230 P 22.50,-3,4.61
GOOD WORKS II        WTS             EXP 02/01/28 ACQUISITION CORP,GWIIW,264595,0.17
FRONTIER COMMNS HLDGS LLC 2ND LIEN SECD NOTE CPN  5.87500 % MTD 2029-11-01 DTD 2021-04-30,,5149,80.50000000
Vanguard Federal Money Market Fund,VMFXX,1500270.44000,1.0
